origin_utc,open,high,low,close,volume,iv_daily_sigma,iv_available_ms
2020-09-23 00:00:00+00:00,344.05,344.6,312.36,320.64,2547487.165,,
2020-09-24 00:00:00+00:00,320.64,353.09,316.37,348.77,2679663.06,,
2020-09-25 00:00:00+00:00,348.73,357.88,337.5,351.88,2148472.096,,
2020-09-26 00:00:00+00:00,351.88,356.58,345.76,353.88,1293348.016,,
2020-09-27 00:00:00+00:00,353.89,362.22,346.79,357.4,1563883.7140000002,,
2020-09-28 00:00:00+00:00,357.29,368.45,351.6,353.85,1849537.469,,
2020-09-29 00:00:00+00:00,353.84,360.55,350.07,359.7,1437671.627,,
2020-09-30 00:00:00+00:00,359.7,361.55,351.02,359.71,1168055.491,,
2020-10-01 00:00:00+00:00,359.71,370.44,345.1,352.53,2088409.078,,
2020-10-02 00:00:00+00:00,352.54,354.34,334.01,345.41,1991868.5070000002,,
2020-10-03 00:00:00+00:00,345.44,350.86,343.38,345.72,824121.901,,
2020-10-04 00:00:00+00:00,345.69,354.3,343.68,352.23,994011.923,,
2020-10-05 00:00:00+00:00,352.15,356.51,348.2,353.45,979059.824,,
2020-10-06 00:00:00+00:00,353.45,354.95,336.44,340.65,1685300.902,,
2020-10-07 00:00:00+00:00,340.66,342.9,332.22,341.41,1228735.0010000002,,
2020-10-08 00:00:00+00:00,341.42,353.43,333.88,351.08,1560418.7280000001,,
2020-10-09 00:00:00+00:00,351.07,368.3,347.26,365.04,1327626.268,,
2020-10-10 00:00:00+00:00,365.03,378.7,364.71,370.68,1467956.111,,
2020-10-11 00:00:00+00:00,370.68,378.1,369.07,374.39,1029589.4639999999,,
2020-10-12 00:00:00+00:00,374.39,395.43,365.5,386.73,2084977.674,,
2020-10-13 00:00:00+00:00,386.72,388.15,374.25,381.12,1684066.8139999998,,
2020-10-14 00:00:00+00:00,381.11,387.72,373.12,378.75,1534026.379,,
2020-10-15 00:00:00+00:00,378.75,382.6,369.5,377.63,1617436.212,,
2020-10-16 00:00:00+00:00,377.63,379.92,360.53,365.41,1864106.37,,
2020-10-17 00:00:00+00:00,365.42,370.91,363.19,368.26,710651.199,,
2020-10-18 00:00:00+00:00,368.26,378.8,367.16,378.29,806637.483,,
2020-10-19 00:00:00+00:00,378.28,384.53,372.72,379.47,1306013.625,,
2020-10-20 00:00:00+00:00,379.47,381.19,364.9,368.74,1662321.815,,
2020-10-21 00:00:00+00:00,368.74,402.8,367.9,390.96,3345842.4650000003,,
2020-10-22 00:00:00+00:00,390.95,421.9,390.57,414.39,3018734.084,,
2020-10-23 00:00:00+00:00,414.38,419.99,401.82,409.4,2104662.1950000003,,
2020-10-24 00:00:00+00:00,409.41,417.16,407.33,412.34,1329608.93,,
2020-10-25 00:00:00+00:00,412.34,417.89,402.6,406.14,1346452.607,,
2020-10-26 00:00:00+00:00,406.14,411.18,382.18,392.43,2786314.677,,
2020-10-27 00:00:00+00:00,392.43,410.58,390.0,403.6,2401387.34,,
2020-10-28 00:00:00+00:00,403.59,409.65,379.28,388.17,2723288.874,,
2020-10-29 00:00:00+00:00,388.17,394.27,380.5,386.94,1923941.877,,
2020-10-30 00:00:00+00:00,386.94,392.1,373.03,382.4,2280687.856,,
2020-10-31 00:00:00+00:00,382.49,394.14,380.14,386.29,1672781.7660000003,,
2020-11-01 00:00:00+00:00,386.28,398.0,384.32,396.82,1414350.496,,
2020-11-02 00:00:00+00:00,396.9,405.0,377.71,383.16,2316121.9669999997,,
2020-11-03 00:00:00+00:00,383.16,390.28,370.0,388.11,2031329.509,,
2020-11-04 00:00:00+00:00,388.11,408.99,375.71,402.92,3120949.6500000004,,
2020-11-05 00:00:00+00:00,402.95,423.79,395.89,417.14,4634761.389,,
2020-11-06 00:00:00+00:00,417.13,459.0,414.81,456.38,5106137.581,,
2020-11-07 00:00:00+00:00,456.38,469.74,423.7,435.58,5035309.468,,
2020-11-08 00:00:00+00:00,435.64,461.1,432.33,454.75,2450451.528,,
2020-11-09 00:00:00+00:00,454.74,459.9,433.76,444.72,3414860.603,,
2020-11-10 00:00:00+00:00,444.73,455.82,439.07,450.67,2457157.259,,
2020-11-11 00:00:00+00:00,450.67,476.89,449.69,463.35,3760142.204,,
2020-11-12 00:00:00+00:00,463.34,470.83,451.09,462.68,3184836.8660000004,,
2020-11-13 00:00:00+00:00,462.69,479.0,457.25,476.8,3013056.859,,
2020-11-14 00:00:00+00:00,476.8,478.1,451.97,461.0,2199594.275,,
2020-11-15 00:00:00+00:00,461.02,462.96,440.1,448.16,2039952.1130000001,,
2020-11-16 00:00:00+00:00,448.16,466.6,445.53,460.72,2458564.459,,
2020-11-17 00:00:00+00:00,460.7,485.93,460.0,482.49,3589150.001,,
2020-11-18 00:00:00+00:00,482.56,497.0,455.0,478.61,5265683.829,,
2020-11-19 00:00:00+00:00,478.6,480.68,465.15,471.38,2320768.365,,
2020-11-20 00:00:00+00:00,471.38,514.52,471.01,510.37,4646610.69,,
2020-11-21 00:00:00+00:00,510.43,555.44,502.8,554.1,5113556.271,,
2020-11-22 00:00:00+00:00,554.04,582.93,511.0,560.42,7317045.59,,
2020-11-23 00:00:00+00:00,560.41,611.88,550.81,609.12,7475301.504000001,,
